Date,Average pressure,Sea level pressure,Rainfall,Max rainfall (1 hour),Max rainfall (10 mins),Ave temp,Max temp,Min temp,Ave humidity,Min humidity,Ave wind speed,Hours of sunlight,Snowfall,Max snow cover,Gust x,Gust y,Max x,Max y
1981/6/12,1000.8,1004.9,10.5,4.5,2,20.6,21.8,19,88,82,1.9,,,,6.097604915,-2.525710654,3.233578364,-1.339392013
1981/6/13,1003.1,1007.2,15.5,3,1,19.6,21.8,17.4,90,87,2.1,,,,-6.3,7.72E-16,2.687005769,2.687005769
1981/6/14,1003.3,1007.4,26.5,6,2,19.6,21.7,17.3,91,83,1.8,,,,-7.9,9.67E-16,-4.6,5.63E-16
1981/6/15,1003.5,1007.6,20.5,14,6,20.1,22.4,18,90,79,1.9,,,,8.9,0,5.8,0
1981/6/16,1006.3,1010.5,0,0,0,22,25.9,18.4,78,57,2.3,6.6,,,-7.760588073,3.214540832,-5.450889242,2.257832251
1981/6/17,1006.1,1010.2,,,,23.3,26.9,19.1,77,61,3.1,8.1,,,-11.2,1.37E-15,-7.2,8.82E-16
1981/6/18,1001.9,1006,0,0,0,22.5,26.5,16.6,77,61,2.6,1.8,,,5.127957994,12.37998574,3.138004145,7.575812167
1981/6/19,1007.8,1012.1,,,,16.4,19.7,13.3,69,57,3.5,1.6,,,3.597224264,8.684467606,2.219563908,5.358501289
1981/6/20,1010.4,1014.7,0,0,0,14.5,17.5,12.8,77,68,2.2,,,,2.563978997,6.189992868,1.683807102,4.065069943
1981/6/21,1009.4,1013.7,0,0,0,13.7,16,12.4,84,75,2.4,,,,2.48744231,6.005216961,1.645538759,3.97268199
1981/6/22,1003.5,1007.6,1,0.5,0.5,16,19.3,12.5,88,73,1.3,,,,4.8,0,3,0
1981/6/23,996.4,1000.4,7.5,6,2.5,23.9,28.4,17.3,75,44,3.5,2.6,,,-18.7,2.29E-15,-9.9,1.21E-15
1981/6/24,1007.4,1011.6,0,0,0,22.3,24.5,20.1,53,39,2.6,0.3,,,7.483424213,3.099735802,3.535533906,3.535533906
1981/6/25,1004.6,1008.7,1,1,0.5,21.7,24.5,19,71,50,2,0.5,,,-7.3,8.94E-16,4.619397663,-1.913417162
1981/6/26,1000.7,1004.8,1,1,0.5,20.8,23.4,18.8,83,74,2.6,,,,8.3,0,5.3,0
1981/6/27,1000.3,1004.4,1.5,1.5,1,20.2,23.4,18.1,88,74,1.9,,,,2.678784027,6.467156728,2.82E-16,4.6
1981/6/28,1004.3,1008.5,0.5,0.5,0.5,19.8,21.4,18.8,85,80,2,,,,-2.334368937,5.635665148,3.8,0
1981/6/29,1002.2,1006.3,0,0,0,23.2,32,18.5,78,56,2.2,6.5,,,10.43983872,-4.324322786,7.206260354,-2.984930772
1981/6/30,1008.4,1012.6,3.5,1.5,1,21.9,27.5,17.5,74,58,3.1,4.4,,,-3.291077518,7.94536398,-5.081337429,2.104758878
1981/7/1,1013,1017.2,0.5,0.5,0.5,21.1,24.4,17,78,64,2.6,2.6,,,-6.189992868,2.563978997,4.342233803,1.798612132
1981/7/2,1010.9,1015.1,15,4,1,21,22.5,20.4,89,76,2.8,,,,-9.7,1.19E-15,-4.711785616,1.951685505
1981/7/3,1010,1014.2,15,5.5,1.5,19.2,20.6,18,90,86,3.1,,,,8.684467606,3.597224264,3.889087297,3.889087297
1981/7/4,1012,1016.2,1.5,1,1,21.1,23.2,18.1,86,75,2,,,,6.1,0,3.787906083,1.569002073
1981/7/5,1011.3,1015.4,0,0,0,23.1,26.4,19.9,76,57,2.7,5.2,,,-9.2,1.13E-15,-6.7,8.21E-16
1981/7/6,1004.7,1008.8,,,,25.6,29.2,22,77,62,3.1,1.9,,,-8.8,1.08E-15,-5.5,6.74E-16
1981/7/7,999.7,1003.7,,,,28,32.6,25,68,49,3.5,5.4,,,-8.414570696,-8.414570696,-4.949747468,-4.949747468
